x,z,Density,Nu_Tilde,Pressure,Temperature,U,W,dUdX,dWdX,dUdZ,dWdZ,d2UdX2,d2WdZ2,dNu_tdX,dNu_tdZ
-0.153943,1,1.32906,4.16743E-05,114460,300.013,69.3814,0.0356617,-0.0515801,0.0396501,-0.0242857,0.0509951,0.420358,0.14379,4.40589E-09,4.81194E-09
-0.199442,1,1.32905,4.16741E-05,114459,300.012,69.3838,0.0333696,-0.0755334,0.0741497,-0.0191199,0.0635686,0.501556,0.165504,8.34747E-09,5.7476E-09
-0.257964,1,1.32905,4.16733E-05,114459,300.012,69.3896,0.0274862,-0.103268,0.129429,-0.00485841,0.0694745,0.289453,0.173152,1.61112E-08,0.000000005
0,0,1.32023,0,114478,302.067,0,0,-3224.72,-0.0562822,841269,3198.94,268029,24588000,-0.0187651,1.57654
0.378498,0,1.31952,0,114460,302.181,0,0,0,0,334497,-19.7508,0,5299160,0,1.07614
0.356482,0,1.31953,0,114460,302.179,0,0,0,0,337408,-20.0951,0,5398670,0,1.08056
0.335735,0,1.31954,0,114460,302.178,0,0,0,0,340345,-20.446,0,5500640,0,1.08499
0.316136,0,1.31955,0,114461,302.177,0,0,0,0,343317,-20.8045,0,5605420,0,1.08946
0.297575,0,1.31955,0,114461,302.176,0,0,0,0,346332,-21.1714,0,5713300,0,1.09398
0.279957,0,1.31956,0,114461,302.175,0,0,0,0,349398,-21.5478,0,5824550,0,1.09854
0.263199,0,1.31957,0,114461,302.173,0,0,0,0,352523,-21.9348,0,5939500,0,1.10318
0.247226,0,1.31958,0,114462,302.172,0,0,0,0,355716,-22.3336,0,6058590,0,1.10789
0.23197,0,1.31959,0,114462,302.171,0,0,0,0,358989,-22.7457,0,6182380,0,1.1127
0.217373,0,1.3196,0,114462,302.169,0,0,0,0,362353,-23.1728,0,6311540,0,1.11761
0.20338,0,1.31961,0,114463,302.167,0,0,0,0,365820,-23.6173,0,6446880,0,1.12266
