Epoch,Learning rate,Training loss,Testing loss,RANS loss,BC loss,Sample loss
4.704000000000000000e+03,6.561000000000001726e-05,2.478118053385455823e+03,1.307303129056670628e+02,3.503865312500000329e+01,2.988369560241699308e+00,1.395211793984358728e+01
4.753000000000000000e+03,6.561000000000001726e-05,2.477735873521419308e+03,1.308729588346921560e+02,3.496754375000000437e+01,3.018006134033203391e+00,1.396487133954687287e+01
4.802000000000000000e+03,6.561000000000001726e-05,2.477168223215289345e+03,1.306462513827105454e+02,3.455987499999999812e+01,3.053931427001953303e+00,1.394174229638019114e+01
4.851000000000000000e+03,6.561000000000001726e-05,2.476657961813438760e+03,1.305010485406776581e+02,3.430139687500000178e+01,3.087518310546875089e+00,1.392515717234074479e+01
4.900000000000000000e+03,6.561000000000001726e-05,2.476174802838027972e+03,1.303755432916216250e+02,3.406553437499999859e+01,3.119677162170410245e+00,1.391105737605439963e+01
4.949000000000000000e+03,6.561000000000001726e-05,2.475623853640161542e+03,1.303904258782380623e+02,3.391796562500000078e+01,3.150014114379882990e+00,1.391135572167218015e+01
4.998000000000000000e+03,6.561000000000001726e-05,2.475007785559368131e+03,1.300082902376178993e+02,3.338916875000000317e+01,3.184686470031738548e+00,1.387170028331748028e+01
5.047000000000000000e+03,5.904900000000001689e-05,2.474454217065595003e+03,1.299945469961455160e+02,3.305834062499999959e+01,3.211813735961914329e+00,1.386941653287046350e+01
5.096000000000000000e+03,5.904900000000001689e-05,2.474070708373563775e+03,1.297569961320551784e+02,3.266277187500000423e+01,3.237530136108398793e+00,1.384333103205346482e+01
5.145000000000000000e+03,5.904900000000001689e-05,2.473384056718100965e+03,1.297166695550646693e+02,3.241599062499999917e+01,3.258794784545898438e+00,1.383702667743886927e+01
5.194000000000000000e+03,5.904900000000001689e-05,2.472720513710854448e+03,1.295247820543281421e+02,3.190648437500000156e+01,3.284604644775390714e+00,1.381708957680362815e+01
5.243000000000000000e+03,5.904900000000001689e-05,2.472123327625884940e+03,1.293277495080977531e+02,3.147738125000000053e+01,3.304021072387695490e+00,1.379538205036529952e+01
5.292000000000000000e+03,5.904900000000001689e-05,2.471724400960099956e+03,1.291033501969083943e+02,3.107985312500000319e+01,3.322410583496093750e+00,1.377080375460158201e+01
